Date,S&P Cryptocurrency Broad Digital Market Index (USD)
2019-12-12,525.36
2019-12-13,525.3
2019-12-16,492.82
2019-12-17,467.51
2019-12-18,506.06
2019-12-19,505.36
2019-12-20,510.86
2019-12-23,521.53
2019-12-24,510.31
2019-12-25,509.96
2019-12-26,512.06
2019-12-27,510.36
2019-12-30,515.88
2019-12-31,507.17
2020-01-01,513.82
2020-01-02,492.94
2020-01-03,520.66
2020-01-06,543.35
2020-01-07,578.79
2020-01-08,565.39
2020-01-09,550.39
2020-01-10,573.42
2020-01-13,580.77
2020-01-14,627.6
2020-01-15,640.9
2020-01-16,636.03
2020-01-17,649.09
2020-01-20,632.43
2020-01-21,637.77
2020-01-22,632.86
2020-01-23,607.89
2020-01-24,616.77
2020-01-27,655.2
2020-01-28,660.83
2020-01-29,682.97
2020-01-30,700.76
2020-01-31,680.91
2020-02-03,689.54
2020-02-04,681.58
2020-02-05,722.76
2020-02-06,734.48
2020-02-07,733.78
2020-02-10,746.42
2020-02-11,781.1
2020-02-12,806.42
2020-02-13,791.97
2020-02-14,812.63
2020-02-17,740.03
2020-02-18,787.8
2020-02-19,778.47
2020-02-20,730.85
2020-02-21,742.78
2020-02-24,732.04
2020-02-25,707.23
2020-02-26,660.67
2020-02-27,671
2020-02-28,648.53
2020-03-02,672.68
2020-03-03,656.78
2020-03-04,655.28
2020-03-05,687.54
2020-03-06,691.02
2020-03-09,584.02
2020-03-10,593.9
2020-03-11,581.37
2020-03-12,441.12
2020-03-13,398.15
2020-03-16,367.26
2020-03-17,392.35
2020-03-18,390.7
2020-03-19,456.23
2020-03-20,447.15
2020-03-23,454.86
2020-03-24,484.56
2020-03-25,476.47
2020-03-26,480.85
2020-03-27,482.59
2020-03-30,463.16
2020-03-31,470.22
2020-04-01,451.55
2020-04-02,492.02
2020-04-03,492.79
2020-04-06,535.01
2020-04-07,536.91
2020-04-08,541.75
2020-04-09,536.57
2020-04-10,508.2
2020-04-13,501.31
2020-04-14,510.5
2020-04-15,496.31
2020-04-16,518.14
2020-04-17,523.95
2020-04-20,502.41
2020-04-21,511.46
2020-04-22,528.95
2020-04-23,559.38
2020-04-24,559.52
2020-04-27,571.69
2020-04-28,575.49
2020-04-29,645.7
2020-04-30,644.65
2020-05-01,639.9
2020-05-04,643.98
2020-05-05,647.8
2020-05-06,665.51
2020-05-07,703.99
2020-05-08,710.92
2020-05-11,623.87
2020-05-12,632.52
2020-05-13,655.23
2020-05-14,684.51
2020-05-15,661.16
2020-05-18,692.66
2020-05-19,688.42
2020-05-20,681.07
2020-05-21,646.79
2020-05-22,660.94
2020-05-25,647.84
2020-05-26,637.52
2020-05-27,660.77
2020-05-28,681.09
2020-05-29,679.51
2020-06-01,701.78
2020-06-02,696.01
2020-06-03,704.36
2020-06-04,718.59
2020-06-05,714.23
2020-06-08,712.38
2020-06-09,715.28
2020-06-10,725.76
2020-06-11,678.07
2020-06-12,692.15
2020-06-15,688.74
2020-06-16,693.66
2020-06-17,682.75
2020-06-18,686.13
2020-06-19,679.71
2020-06-22,702.88
2020-06-23,708.11
2020-06-24,682.05
2020-06-25,681.35
2020-06-26,673.23
2020-06-29,669.13
2020-06-30,666.66
2020-07-01,677.08
2020-07-02,662.38
2020-07-03,667.36
2020-07-06,688.63
2020-07-07,688.35
2020-07-08,711.62
2020-07-09,692.63
2020-07-10,694.49
2020-07-13,694.93
2020-07-14,701.97
2020-07-15,693.92
2020-07-16,687.7
2020-07-17,691.55
2020-07-20,690
2020-07-21,706.96
2020-07-22,709.76
2020-07-23,732.57
2020-07-24,734.82
2020-07-27,817.97
2020-07-28,832.99
2020-07-29,846.58
2020-07-30,846.63
2020-07-31,863.49
2020-08-03,892.36
2020-08-04,879.62
2020-08-05,907.64
2020-08-06,924.41
2020-08-07,889.32
2020-08-10,928.04
2020-08-11,889.46
2020-08-12,906.94
2020-08-13,912.46
2020-08-14,948.72
2020-08-17,991.5
2020-08-18,960.17
2020-08-19,921.87
2020-08-20,944.85
2020-08-21,925.21
2020-08-24,935.8
2020-08-25,892.54
2020-08-26,910.56
2020-08-27,885.48
2020-08-28,912.36
2020-08-31,947.81
2020-09-01,977.79
2020-09-02,918.58
2020-09-03,860.28
2020-09-04,845.72
2020-09-07,795.59
2020-09-08,784.06
2020-09-09,812.61
2020-09-10,815.91
2020-09-11,822.7
2020-09-14,843.63
2020-09-15,841.31
2020-09-16,851.08
2020-09-17,858.21
2020-09-18,849.65
2020-09-21,803.3
2020-09-22,803.56
2020-09-23,783.64
2020-09-24,815.48
2020-09-25,828.91
2020-09-28,842.44
2020-09-29,831.17
2020-09-30,828
2020-10-01,820.38
2020-10-02,808.04
2020-10-05,827.32
2020-10-06,809.64
2020-10-07,815.09
2020-10-08,834.46
2020-10-09,850.28
2020-10-12,892.16
2020-10-13,878.31
2020-10-14,871.56
2020-10-15,884.03
2020-10-16,862.97
2020-10-19,890.1
2020-10-20,890.57
2020-10-21,947.89
2020-10-22,982.14
2020-10-23,967.11
2020-10-26,963
2020-10-27,1004.74
2020-10-28,965.33
2020-10-29,982.85
2020-10-30,979.86
2020-11-02,985.18
2020-11-03,984.36
2020-11-04,1006.71
2020-11-05,1071.1
2020-11-06,1109.17
2020-11-09,1104.35
2020-11-10,1104.1
2020-11-11,1131.88
2020-11-12,1149.49
2020-11-13,1162.31
2020-11-16,1192.66
2020-11-17,1252.02
2020-11-18,1239.77
2020-11-19,1266.51
2020-11-20,1315.16
2020-11-23,1370.15
2020-11-24,1440.46
2020-11-25,1409.41
2020-11-26,1271.74
2020-11-27,1260.68
2020-11-30,1442.1
2020-12-01,1411.34
2020-12-02,1418.08
2020-12-03,1439.92
2020-12-04,1400.08
2020-12-07,1403.95
2020-12-08,1365.47
2020-12-09,1351.9
2020-12-10,1350.79
2020-12-11,1318.86
2020-12-14,1400.45
2020-12-15,1419.66
2020-12-16,1510.07
2020-12-17,1631.36
2020-12-18,1632.97
2020-12-21,1607.41
2020-12-22,1638.86
2020-12-23,1596.53
2020-12-24,1597.92
2020-12-25,1666.36
2020-12-28,1835.38
2020-12-29,1830.36
2020-12-30,1929.21
2020-12-31,1950.81
2021-01-01,1956.72
2021-01-04,2173.9
2021-01-05,2351.77
2021-01-06,2523.97
2021-01-07,2709.8
2021-01-08,2636.86
2021-01-11,2298.65
2021-01-12,2372.37
2021-01-13,2506.64
2021-01-14,2707.13
2021-01-15,2484.05
2021-01-18,2577.25
2021-01-19,2645.62
2021-01-20,2555.63
2021-01-21,2321.85
2021-01-22,2442.03
2021-01-25,2468.56
2021-01-26,2384.72
2021-01-27,2336.86
2021-01-28,2417.15
2021-01-29,2523.01
2021-02-01,2508.53
2021-02-02,2680.95
2021-02-03,2805.01
2021-02-04,2843.46
2021-02-05,2901.67
2021-02-08,3268.32
2021-02-09,3479.34
2021-02-10,3358.61
2021-02-11,3550.6
2021-02-12,3653.74
2021-02-15,3722.42
2021-02-16,3670.41
2021-02-17,3919.11
2021-02-18,3973.3
2021-02-19,4224.79
2021-02-22,4055.39
2021-02-23,3567.94
2021-02-24,3690.05
2021-02-25,3688.69
2021-02-26,3476.29
2021-03-01,3655.07
2021-03-02,3574.17
2021-03-03,3800.26
2021-03-04,3638.04
2021-03-05,3706.02
2021-03-08,3931.04
2021-03-09,4135.73
2021-03-10,4198.94
2021-03-11,4297
2021-03-12,4190.64
2021-03-15,4215.75
2021-03-16,4187.3
2021-03-17,4348.41
2021-03-18,4273.88
2021-03-19,4425.75
2021-03-22,4189.82
2021-03-23,4145.59
2021-03-24,4080.38
2021-03-25,3923.28
2021-03-26,4069.72
2021-03-29,4365.98
2021-03-30,4476.49
2021-03-31,4455.38
2021-04-01,4536.89
2021-04-02,4581.27
2021-04-05,4680.17
2021-04-06,4661.73
2021-04-07,4425.32
2021-04-08,4608.35
2021-04-09,4670.01
2021-04-12,4861.66
2021-04-13,5102.32
2021-04-14,5034.26
2021-04-15,5241.09
2021-04-16,5150.68
2021-04-19,4651.26
2021-04-20,4781.32
2021-04-21,4751.31
2021-04-22,4582.5
2021-04-23,4349.01
2021-04-26,4616.64
2021-04-27,4749.07
2021-04-28,4830.69
2021-04-29,4672.44
2021-04-30,4984.95
2021-05-03,5237.87
2021-05-04,5061.42
2021-05-05,5328.64
2021-05-06,5325.38
2021-05-07,5415.67
2021-05-10,5393.29
2021-05-11,5547.49
2021-05-12,5395.92
2021-05-13,4828.86
2021-05-14,5148.73
2021-05-17,4530.05
2021-05-18,4508.39
2021-05-19,3743.39
2021-05-20,3876.76
2021-05-21,3354.1
2021-05-24,3672.13
2021-05-25,3470.03
2021-05-26,3710.43
2021-05-27,3739.11
2021-05-28,3419.77
2021-05-31,3538.16
2021-06-01,3469.09
2021-06-02,3707.85
2021-06-03,3772.09
2021-06-04,3591.84
2021-06-07,3529.33
2021-06-08,3234.78
2021-06-09,3462.06
2021-06-10,3425.4
2021-06-11,3412.19
2021-06-14,3622.73
2021-06-15,3636.46
2021-06-16,3512.04
2021-06-17,3423.99
2021-06-18,3187.76
2021-06-21,2893.63
2021-06-22,2800.28
2021-06-23,2852.91
2021-06-24,3046.93
2021-06-25,2812.64
2021-06-28,3045.71
2021-06-29,3220.95
2021-06-30,3127.37
2021-07-01,2968.62
2021-07-02,2986.72
2021-07-05,3103.27
2021-07-06,3141.7
2021-07-07,3214.7
2021-07-08,3017.79
2021-07-09,3028.96
2021-07-12,2937.35
2021-07-13,2864.13
2021-07-14,2903.64
2021-07-15,2809.47
2021-07-16,2811.65
2021-07-19,2676.51
2021-07-20,2591.17
2021-07-21,2766.49
2021-07-22,2867.86
2021-07-23,2843.83
2021-07-26,3424.3
2021-07-27,3241.68
2021-07-28,3417.52
2021-07-29,3389.48
2021-07-30,3418.81
2021-08-02,3501.12
2021-08-03,3396.25
2021-08-04,3584.17
2021-08-05,3673.86
2021-08-06,3853.35
2021-08-09,4104.77
2021-08-10,4105.53
2021-08-11,4274.49
2021-08-12,4057.52
2021-08-13,4272.77
2021-08-16,4319.6
2021-08-17,4247.9
2021-08-18,4175.52
2021-08-19,4373.06
2021-08-20,4552.32
2021-08-23,4668.35
2021-08-24,4545.22
2021-08-25,4567.69
2021-08-26,4384.78
2021-08-27,4565.09
2021-08-30,4648.25
2021-08-31,4595.45
2021-09-01,4775.4
2021-09-02,4889.33
2021-09-03,5037.98
2021-09-06,5152.47
2021-09-07,4525.37
2021-09-08,4592.91
2021-09-09,4601.21
2021-09-10,4486.09
2021-09-13,4417.6
2021-09-14,4542.88
2021-09-15,4739.13
2021-09-16,4687.72
2021-09-17,4610.03
2021-09-20,4207.68
2021-09-21,4022.83
2021-09-22,4214.62
2021-09-23,4370.58
2021-09-24,4119.17
2021-09-27,4135.64
2021-09-28,3962.04
2021-09-29,3942.4
2021-09-30,4148.43
2021-10-01,4576.37
2021-10-04,4687.96
2021-10-05,4793.14
2021-10-06,4995.85
2021-10-07,4967.16
2021-10-08,5020.21
2021-10-11,5049.98
2021-10-12,4922.14
2021-10-13,5076.35
2021-10-14,5197.11
2021-10-15,5395.95
2021-10-18,5301.71
2021-10-19,5488.36
2021-10-20,5741.76
2021-10-21,5542.94
2021-10-22,5448.98
2021-10-25,5625.03
2021-10-26,5627.89
2021-10-27,5297.42
2021-10-28,5528.42
2021-10-29,5659.2
2021-11-01,5630.62
2021-11-02,5828.84
2021-11-03,5860.93
2021-11-04,5717.66
2021-11-05,5740.54
2021-11-08,6111.93
2021-11-09,6215.99
2021-11-10,6031.64
2021-11-11,6057.05
2021-11-12,5988.32
2021-11-15,5937.28
2021-11-16,5500.51
